mmsi,vessel_name,vessel_type,base_datetime,lat,lon,sog,cog,heading,is_anomaly,anomaly_type
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 00:00:00,18.906256,71.375982,11.56,66.3,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 00:05:00,18.913199,71.392136,12.11,67.6,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 00:10:00,18.919945,71.407831,11.77,64.6,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 00:15:00,18.926693,71.423533,11.77,63.8,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 00:20:00,18.932973,71.438145,10.95,67.5,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 00:25:00,18.94004,71.454588,12.33,62.6,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 00:30:00,18.94682,71.470368,11.83,64.1,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 00:35:00,18.953538,71.486001,11.72,61.3,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 00:40:00,18.960273,71.501674,11.75,66.8,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 00:45:00,18.967739,71.51905,13.02,66.4,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 00:50:00,18.974646,71.535126,12.05,64.6,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 00:55:00,18.981388,71.550817,11.76,67.5,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 01:00:00,18.988333,71.566984,12.12,64.3,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 01:05:00,18.994978,71.582451,11.59,65.3,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 01:10:00,19.001735,71.59818,11.79,65.6,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 01:15:00,19.008561,71.614071,11.91,66.4,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 01:20:00,19.01515,71.62941,11.49,67.8,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 01:25:00,19.022667,71.646909,13.11,68.0,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 01:30:00,19.029596,71.663041,12.09,67.4,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 01:35:00,19.036243,71.678519,11.6,62.5,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 01:40:00,19.0433,71.69495,12.31,64.5,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 01:45:00,19.04987,71.710248,11.46,63.9,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 01:50:00,19.05649,71.725663,11.55,65.9,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 01:55:00,19.063503,71.741993,12.23,67.4,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 02:00:00,19.070587,71.758491,12.36,67.1,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 02:05:00,19.077418,71.774401,11.92,64.4,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 02:10:00,19.083952,71.789616,11.4,67.8,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 02:15:00,19.09079,71.805543,11.93,64.8,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 02:20:00,19.09794,71.822196,12.47,63.8,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 02:25:00,19.10501,71.838665,12.33,66.2,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 02:30:00,19.111651,71.854134,11.58,65.5,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 02:35:00,19.118753,71.870679,12.39,67.2,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 02:40:00,19.125975,71.887503,12.6,66.3,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 02:45:00,19.133628,71.90533,13.35,63.8,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 02:50:00,19.140415,71.921144,11.84,65.5,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 02:55:00,19.146969,71.936413,11.43,67.7,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 03:00:00,19.154055,71.952924,12.36,65.7,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 03:05:00,19.160812,71.968667,11.79,62.6,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 03:10:00,19.16751,71.984274,11.68,67.1,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 03:15:00,19.17434,72.000191,11.92,64.8,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 03:20:00,19.181335,72.016489,12.2,67.9,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 03:25:00,19.188273,72.032658,12.1,66.2,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 03:30:00,19.195466,72.049423,12.55,66.0,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 03:35:00,19.202274,72.065291,11.88,67.0,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 03:40:00,19.209095,72.081187,11.9,64.9,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 03:45:00,19.216266,72.097901,12.51,65.0,65.6,0,NORMAL
419088421,MT OCEAN PRIDE,Tanker - Crude,2026-09-04 03:50:00,19.222536,72.112517,10.94,66.3,65.6,0,NORMAL
