sample_id,chip_path,mask_path,has_slick,slick_pixel_count,slick_sq_km,region
ZEN-SAR-0000,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0000.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0000.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0001,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0001.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0001.npy,1,823,0.0823,Mumbai High Arabian Sea
ZEN-SAR-0002,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0002.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0002.npy,1,1097,0.1097,Mumbai High Arabian Sea
ZEN-SAR-0003,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0003.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0003.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0004,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0004.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0004.npy,1,1215,0.1215,Mumbai High Arabian Sea
ZEN-SAR-0005,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0005.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0005.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0006,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0006.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0006.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0007,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0007.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0007.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0008,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0008.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0008.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0009,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0009.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0009.npy,0,0,0.0,Mumbai High Arabian Sea
ZEN-SAR-0010,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\sar_chips\sar_chip_0010.npy,C:\Users\ADMIN\OneDrive\Desktop\vijayasree\SIH2026\gaganacaksuh_prototype\dataset_storage\masks\mask_0010.npy,0,0,0.0,Mumbai High Arabian Sea
